Дата,Эффективное энергопотребление,Ожидаемое энергопотребление,Разница в энергопотреблении (эффективная-ожидаемая),Интервал прогноза низкий,Интервал прогноза высокий,Набор данных обучения или прогнозирования,Эффективное скользящее среднее энергопотребления,Интервал прогноза - низкое скользящее среднее,Интервал прогноза с высоким скользящим средним
2014-12-03,4519889.9915,4326776.0970939,193113.894406104,4100423.74322701,4541155.37968416,t,,,
2014-12-05,4471361.91900001,4271050.68831513,200311.230684888,4044019.53470875,4502341.3313005,t,,,
2014-12-06,3802405.36749999,3745216.07025866,57189.2972413306,3502287.64470017,3963199.1064236,t,,,
2014-12-07,3477542.28049999,3442907.50305302,34634.7774469722,3214694.87629004,3663667.4805135,t,,,
2014-12-09,4496908.77749998,4325338.3447003,171570.432799675,4094349.1904144,4534954.0019843,t,,,
2014-12-12,4337416.12999999,4220723.17268531,116692.957314683,4010027.10138592,4437495.0712185,t,,,
2014-12-15,4366395.31050001,4229093.95453145,137301.355968555,4014954.31287883,4464947.29666088,t,,,
2014-12-16,4374853.24549999,4279547.45663424,95305.7888657553,4050406.40336259,4498708.1613994,t,,,
2014-12-17,4409762.408,4292537.2151292,117225.192870799,4069599.79495815,4513264.33335419,t,,,
2014-12-20,3658357.44399999,3712079.83185588,-53722.3878558879,3497763.61564053,3918394.10461411,t,,,
2014-12-21,3378630.97200001,3404179.33554729,-25548.3635472814,3183187.40690598,3632571.3182809,t,,,
2014-12-23,4009842.73600002,4270164.06747505,-260321.331475023,4041588.52758003,4488068.32675278,t,,,
2014-12-30,3890764.47899998,4077516.96321728,-186752.4842173,3853860.82021389,4298287.61941414,t,,,
2015-01-13,4340418.97149997,4225231.95411618,115187.017383786,4006871.38505773,4443118.11773906,t,,,
2015-01-15,4369474.962,4286024.63173885,83450.3302611485,4060911.5184414,4508977.59802478,t,,,
2015-01-16,4392167.806,4255213.53741976,136954.268580244,4026477.01342272,4473857.74634447,t,,,
2015-01-21,4406391.26599998,4305158.53723234,101232.728767635,4066840.23790369,4537228.89295176,t,,,
2015-01-25,3411106.476,3435755.9650744,-24649.4890743983,3210405.28927348,3656996.89613866,t,,,
2015-01-27,4418943.94249999,4283714.61112383,135229.331376156,4064751.70212444,4507800.01302641,t,,,
2015-01-28,4410287.55249999,4275780.68642412,134506.866075864,4036202.41915316,4512354.77769997,t,,,
2015-02-04,4486920.73749997,4319563.87074492,167356.866755049,4094443.1338922,4552254.01179378,t,,,
2015-02-05,4564609.20000006,4363508.39108785,201100.808912212,4157366.4076423,4593159.51910016,t,,,
2015-02-09,4454779.25749997,4233800.63918733,220978.61831264,4009010.26499665,4472618.93722873,t,,,
2015-02-13,4408946.79399998,4208405.07654036,200541.717459628,3980304.59709476,4440405.13713844,t,,,
2015-02-17,4390667.11000004,4214162.08874352,176505.021256523,3991649.68680603,4422274.43672936,t,,,
2015-02-18,4379674.1715,4204589.63924466,175084.532255337,4007447.09725028,4417252.16758214,t,,,
2015-02-25,4070928.536,4081109.09566729,-10180.5596672948,3859881.19015101,4312347.29756423,t,,,
2015-03-01,3404131.95950005,3382165.94543056,21966.0140694981,3163553.2438675,3621399.02054006,t,,,
2015-03-05,4346490.57549997,4184785.56998886,161705.00551111,3953798.53209007,4411351.48915974,t,,,
2015-03-06,4277752.60899999,4121552.78475331,156199.824246678,3898999.49717546,4365234.76783418,t,,,
2015-03-08,3334078.48899997,3282764.29360813,51314.1953918408,3058286.23312234,3511937.32438656,t,,,
2015-03-09,4254099.24149999,4080854.44927672,173244.792223265,3843383.90720057,4302836.22607254,t,,,
2015-03-24,4437994.08050003,4127655.17648026,310338.904019767,3895737.924419,4350981.64523813,t,,,
2015-03-25,4504184.15800002,4228526.86237167,275657.295628353,4025013.51387351,4452612.00262153,t,,,
2015-03-26,4501161.31750003,4253222.23531647,247939.082183563,4021516.95039458,4481407.68063249,t,,,
2015-03-27,4295599.66249997,4131359.51872175,164240.143778225,3922897.19122997,4359717.27903843,t,,,
2015-04-03,3298118.74684222,3240035.0205911,58083.7262511295,3002548.50413258,3457096.31093985,t,,,
2015-04-04,3487640.98620627,3565446.08471996,-77805.0985136856,3343640.99012183,3800609.47887022,t,,,
